timestamp,key
0,110
1,21
2,6
3,27
4,25
5,1
6,1
7,2
8,16
9,41
10,10
11,31
12,1
13,66
14,3
15,58
16,25
17,15
18,2
19,1
20,11
21,1
22,1
23,2
24,2
25,1
26,3
27,270
28,4
29,1
30,2
31,1
32,18
33,398
34,1
35,45
36,1
37,25
38,7
39,184
40,57
41,1
42,3
43,454
44,830
45,27
46,4
47,4
48,1
49,19
50,1
51,10
52,113
53,91
54,608
55,4
56,10
57,10
58,26
59,28
60,156
61,134
62,76
63,42
64,2
65,64
66,4
67,5
68,1
69,333
70,17
71,1
72,7
73,1
74,2
75,102
76,1
77,1
78,1
79,71
80,84
81,6
82,3
83,1
84,1
85,376
86,2
87,65
88,783
89,1
90,40
91,3
92,444
93,20
94,1
95,94
96,1
97,1
98,2
99,1
100,3
101,22
102,1
103,993
104,36
105,1
106,22
107,3
108,824
109,171
110,4
111,1
112,2
113,53
114,1
115,1
116,34
117,1
118,21
119,8
120,15
121,4
122,2
123,1
124,143
125,8
126,1
127,1
128,3
129,141
130,4
131,158
132,13
133,1
134,2
135,493
136,20
137,53
138,3
139,4
140,6
141,4
142,1
143,1
144,7
145,79
146,320
147,22
148,2
149,9
150,20
151,1
152,1
153,1
154,158
155,3
156,1
157,5
158,2
159,14
160,4
161,11
162,1
163,13
164,15
165,10
166,22
167,1
168,2
169,1
170,23
171,4
172,5
173,2
174,10
175,80
176,392
177,1
178,5
179,7
180,6
181,1
182,2
183,9
184,1
185,19
186,15
187,1
188,25
189,1
190,6
191,1
192,1
193,1
194,160
195,1
196,11
197,6
198,13
199,1
200,2
201,1
202,3
203,22
204,5
205,417
206,14
207,10
208,2
209,1
210,1
211,4
212,4
213,3
214,3
215,245
216,4
217,4
218,142
219,3
220,27
221,1
222,4
223,3
224,3
225,22
226,1
227,24
228,2
229,1
230,4
231,696
232,150
233,114
234,2
235,2
236,75
237,1
238,9
239,2
240,3
241,1
242,7
243,8
244,2
245,4
246,8
247,34
248,1
249,6
250,3
251,3
252,159
253,36
254,1
255,2
256,2
257,18
258,10
259,356
260,96
261,40
262,230
263,1
264,9
265,12
266,6
267,124
268,24
269,7
270,1
271,299
272,10
273,1
274,1
275,20
276,2
277,184
278,8
279,58
280,6
281,9
282,29
283,292
284,9
285,1
286,2
287,51
288,1
289,4
290,2
291,449
292,24
293,1
294,1
295,1
296,2
297,41
298,52
299,1
300,4
301,1
302,1
303,1
304,4
305,2
306,15
307,274
308,74
309,386
310,2
311,47
312,9
313,20
314,2
315,1
316,3
317,1
318,9
319,8
320,3
321,1
322,1
323,1
324,3
325,1
326,4
327,9
328,8
329,3
330,17
331,7
332,26
333,3
334,2
335,5
336,180
337,1
338,2
339,1
340,11
341,1
342,339
343,1
344,4
