timestamp,key
0,18
1,6
2,1
3,53
4,1697
5,31
6,48
7,245
8,10
9,1
10,4
11,1
12,1
13,3
14,2
15,3
16,2
17,6
18,4095
19,2
20,8
21,133
22,10
23,1
24,4619
25,4
26,9
27,36
28,19
29,1
30,48
31,374
32,236
33,10
34,1
35,272
36,5
37,7
38,2
39,5
40,1
41,33
42,6
43,89
44,17
45,1
46,16
47,2
48,3
49,1
50,41
51,17
52,3
53,1487
54,1
55,1
56,2
57,1
58,1
59,1
60,1
61,1
62,9
63,2
64,25
65,1364
66,1
67,298
68,3
69,500
70,1
71,1
72,1
73,4998
74,826
75,45
76,24
77,37
78,2
79,4
80,197
81,34
82,2
83,2
84,6
85,12
86,1
87,10
88,20
89,73
90,1
91,1
92,5
93,5
94,5
95,1
96,2
97,2
98,2
99,6
100,1
101,2
102,1
103,1
104,2
105,3
106,1
107,34
108,1
109,2
110,188
111,1
112,47
113,24
114,1
115,1
116,2402
117,1
118,193
119,10
120,2122
121,7
122,140
123,1876
124,241
125,3971
126,4
127,24
128,531
129,2
130,6
131,1
132,1
133,5
134,11
135,219
136,3
137,10
138,1
139,5
140,140
141,20
142,1
143,5
144,1
145,49
146,46
147,6
148,3004
149,255
150,18
151,2
152,28
153,1
154,1
155,1
156,1
157,4
158,2
159,3
160,13
161,15
162,1
163,5
164,1
165,1
166,187
167,28
168,363
169,4301
170,3
171,3
172,11
173,15
174,1
175,47
176,6
177,2
178,1
179,36
180,3
181,78
182,1
183,24
184,1
185,1
186,4
187,13
188,14
189,131
190,2
191,1
192,8
193,10
194,20
195,5
196,12
197,3
198,1
199,13
200,8
201,16
202,106
203,1
204,1
205,2
206,87
207,18
208,1
209,9
210,1
211,569
212,3
213,880
214,1
215,2
216,94
217,2
218,22
219,11
220,1
221,6
222,14
223,196
224,12
225,1
226,287
227,1
228,360
229,11
230,26
231,1
232,2
233,36
234,2
235,1
236,2
237,2
238,5
239,1
240,8
241,3
242,34
243,1
244,1
245,21
246,2
247,727
248,14
249,2
250,1
251,1
252,1
253,1
254,392
255,2
256,1
257,11
258,95
259,6
260,686
261,1
262,1
263,4
264,1
265,1
266,1
267,3175
268,4
269,1
270,1
271,49
272,12
273,109
274,2
275,928
276,2
277,54
278,1
279,3
280,4
281,1
282,2
283,1
284,149
285,8
286,1
287,5
288,1
289,1
290,22
291,1951
292,133
293,2
294,26
295,11
296,2
297,3
298,35
299,2
300,11
301,7
302,1
303,2
304,22
